opco,dbTechnology,hostName,variant,tenatnId,dbType,dbVersion,memberStatus,clusterName,port,instanceType,databseRole,isClustered,patchCompliance,env,physMemory,totalCPUs,dbSizeMB,encAtRest,encTechnique,backupMethod,isExternalFacing,sslEnabled,databaseTier,auditCompliance,isDBaaS,dbaasVendor,lastChangeDate
"MARSH","mongo","ip-10-237-105-75.ec2.internal","Enterprise","mongo.rs.rep_stg02.ip-10-237-105-75.ec2.internal.27013","traditional","4.2.14","Active","rep_stg02","27013","mongo.rs","SECONDARY","Yes","No","uat","33080516608","4","63805.67578125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-90-22.ec2.internal","Enterprise","mongo.rs.rep_stg02.ip-10-237-90-22.ec2.internal.27013","traditional","4.2.14","Active","rep_stg02","27013","mongo.rs","SECONDARY","Yes","No","uat","33080516608","4","63805.67578125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-27-160.ec2.internal","Enterprise","mongo.rs.rep_prd01.ip-10-237-27-160.ec2.internal.27011","traditional","4.2.14","Active","rep_prd01","27011","mongo.rs","PRIMARY","Yes","No","prod","66548318208","8","146251.98046875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-42-31.ec2.internal","Enterprise","mongo.rs.rep_prd01.ip-10-237-42-31.ec2.internal.27011","traditional","4.2.14","Active","rep_prd01","27011","mongo.rs","SECONDARY","Yes","No","prod","66548318208","8","146251.98046875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-8-93.ec2.internal","Enterprise","mongo.rs.rep_prd01.ip-10-237-8-93.ec2.internal.27011","traditional","4.2.14","Active","rep_prd01","27011","mongo.rs","SECONDARY","Yes","No","prod","66548318208","8","146251.98046875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-74-76.ec2.internal","Enterprise","mongo.rs.rep_stg01.ip-10-237-74-76.ec2.internal.27011","traditional","4.2.14","Active","rep_stg01","27011","mongo.rs","SECONDARY","Yes","No","uat","33080508416","4","75277.40234375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-90-22.ec2.internal","Enterprise","mongo.rs.rep_stg01.ip-10-237-90-22.ec2.internal.27011","traditional","4.2.14","Active","rep_stg01","27011","mongo.rs","PRIMARY","Yes","No","uat","33080516608","4","75277.40234375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-105-75.ec2.internal","Enterprise","mongo.rs.rep_stg01.ip-10-237-105-75.ec2.internal.27011","traditional","4.2.14","Active","rep_stg01","27011","mongo.rs","SECONDARY","Yes","No","uat","33080516608","4","75277.40234375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-132-137.ec2.internal","Enterprise","mongo.rs.rep_dev03.ip-10-237-132-137.ec2.internal.27013","traditional","4.2.14","Active","rep_dev03","27013","mongo.rs","PRIMARY","Yes","No","dev","16346611712","2","61400.93359375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-141-117.ec2.internal","Enterprise","mongo.rs.rep_dev03.ip-10-237-141-117.ec2.internal.27013","traditional","4.2.14","Active","rep_dev03","27013","mongo.rs","SECONDARY","Yes","No","dev","16346611712","2","61400.93359375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-149-130.ec2.internal","Enterprise","mongo.rs.rep_dev03.ip-10-237-149-130.ec2.internal.27013","traditional","4.2.14","Active","rep_dev03","27013","mongo.rs","SECONDARY","Yes","No","dev","16346537984","2","61400.93359375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf21v0126","Enterprise","mongo.rs.rep_prod01.usdf21v0126.27013","traditional","4.2.14","Active","rep_prod01","27013","mongo.rs","PRIMARY","Yes","No","prod","33547907072","4","1413.83203125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf21v0127","Enterprise","mongo.rs.rep_prod01.usdf21v0127.27013","traditional","4.2.14","Active","rep_prod01","27013","mongo.rs","SECONDARY","Yes","No","prod","33547907072","4","1413.83203125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf21v0530","Enterprise","mongo.rs.rep_prod01.usdf21v0530.27013","traditional","4.2.14","Active","rep_prod01","27013","mongo.rs","SECONDARY","Yes","No","prod","33567277056","4","1413.83203125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf24v0213","Enterprise","mongo.rs.rep_uat02.usdf24v0213.27012","traditional","4.2.14","Active","rep_uat02","27012","mongo.rs","PRIMARY","Yes","No","uat","16656965632","4","21104.03125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf24v0212","Enterprise","mongo.rs.rep_uat02.usdf24v0212.27012","traditional","4.2.14","Active","rep_uat02","27012","mongo.rs","SECONDARY","Yes","No","uat","16656965632","4","21104.03125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf24v0211","Enterprise","mongo.rs.rep_uat02.usdf24v0211.27012","traditional","4.2.14","Active","rep_uat02","27012","mongo.rs","SECONDARY","Yes","No","uat","16656957440","4","21104.03125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex24v0033","Enterprise","mongo.rs.rs_em_prem_uat01.gbex24v0033.27018","traditional","4.2.14","Active","rs_em_prem_uat01","27018","mongo.rs","PRIMARY","Yes","No","uat","33547907072","2","94276.05859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex24v0034","Enterprise","mongo.rs.rs_em_prem_uat01.gbex24v0034.27018","traditional","4.2.14","Active","rs_em_prem_uat01","27018","mongo.rs","SECONDARY","Yes","No","uat","33547907072","2","94276.05859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex24v0035","Enterprise","mongo.rs.rs_em_prem_uat01.gbex24v0035.27018","traditional","4.2.14","Active","rs_em_prem_uat01","27018","mongo.rs","SECONDARY","Yes","No","uat","33547907072","2","94276.05859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-132-137.ec2.internal","Enterprise","mongo.rs.rep_dev01.ip-10-237-132-137.ec2.internal.27011","traditional","4.2.14","Active","rep_dev01","27011","mongo.rs","PRIMARY","Yes","No","dev","16346611712","2","60286.484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-141-117.ec2.internal","Enterprise","mongo.rs.rep_dev01.ip-10-237-141-117.ec2.internal.27011","traditional","4.2.14","Active","rep_dev01","27011","mongo.rs","SECONDARY","Yes","No","dev","16346611712","2","60286.484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-149-130.ec2.internal","Enterprise","mongo.rs.rep_dev01.ip-10-237-149-130.ec2.internal.27011","traditional","4.2.14","Active","rep_dev01","27011","mongo.rs","SECONDARY","Yes","No","dev","16346537984","2","60286.484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-105-219.ec2.internal","Enterprise","mongo.rs.rs_nam_aws_ppm_uat01.ip-10-237-73-165.ec2.internal.27012","traditional","4.4.8","Active","rs_nam_aws_ppm_uat01","27012","mongo.rs","SECONDARY","Yes","No","uat","66548318208","8","11412.35546875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
